þingmaður, já, nei, sat hjá, boðaði fjarvist, fjarverandi
144
Illugi Gunnarsson,724,61,2,21,173
Lúðvík Geirsson,31,4,80,0,3
Valgerður Gunnarsdóttir,776,62,2,52,93
Margrét Gauja Magnúsdóttir,70,0,37,0,4
Oddný G. Harðardóttir,585,42,215,5,138
Valgerður Bjarnadóttir,616,60,230,10,69
Páll Valur Björnsson,606,41,204,3,131
Helgi Hjörvar,462,39,195,4,271
Halldóra Mogensen,28,0,11,0,3
Anna María Elíasdóttir,366,24,0,0,3
Karl Garðarsson,789,60,0,40,93
Katrín Júlíusdóttir,398,39,125,14,291
Elsa Lára Arnardóttir,839,66,3,30,47
Bjarkey Olsen Gunnarsdóttir,656,60,216,21,32
Sigurður Páll Jónsson,75,21,0,0,2
Eyrún Ingibjörg Sigþórsdóttir,14,0,0,0,0
Björn Leví Gunnarsson,3,1,0,0,0
Ingibjörg Óðinsdóttir,3,1,0,0,0
Unnur Brá Konráðsdóttir,699,70,3,128,63
Willum Þór Þórsson,810,55,0,106,14
Björt Ólafsdóttir,272,24,178,0,98
Steingrímur J. Sigfússon,636,56,196,13,84
Elín Hirst,677,39,0,65,204
Ólína Kjerúlf Þorvarðardóttir,7,0,0,0,0
Sigrún Gunnarsdóttir,10,0,3,0,0
Rósa Björk Brynjólfsdóttir,2,1,1,0,0
Haraldur Benediktsson,698,68,0,0,147
Kristján Þór Júlíusson,854,71,0,2,58
Eldar Ástþórsson,303,23,49,0,38
Lilja Rafney Magnúsdóttir,624,59,182,0,120
Hanna Birna Kristjánsdóttir,402,22,0,1,96
Mörður Árnason,9,0,5,0,0
Vilhjálmur Árnason,807,73,2,0,101
Þorsteinn Sæmundsson,824,74,3,74,10
Össur Skarphéðinsson,467,46,129,10,333
Jón Árnason,11,2,0,0,0
Jón Þór Ólafsson,146,33,624,0,177
Álfheiður Ingadóttir,8,1,1,0,12
Brynjar Níelsson,696,48,7,31,203
Gunnar Bragi Sveinsson,267,14,0,119,186
