mp,commitee_id,meeting_id,meeting_date
1164,203,14053,2014-09-16
1164,207,14037,2014-09-17
1164,207,14038,2014-09-19
1164,207,14075,2014-09-22
1164,203,14091,2014-09-23
1164,207,14082,2014-09-24
1164,203,14101,2014-09-25
1164,207,14100,2014-09-26
1164,207,14120,2014-10-06
1164,203,14149,2014-10-07
1164,207,14140,2014-10-07
1164,207,14121,2014-10-08
1164,203,14160,2014-10-09
1164,203,14173,2014-10-10
1164,203,14184,2014-10-14
1164,207,14139,2014-10-14
1164,207,14122,2014-10-15
1164,207,14181,2014-10-17
1164,207,14183,2014-10-20
1164,203,14217,2014-10-21
1164,207,14215,2014-10-22
1164,203,14224,2014-10-23
1164,207,14222,2014-10-24
1164,203,14229,2014-10-28
1164,207,14236,2014-10-29
1164,203,14264,2014-10-30
1164,207,14266,2014-11-03
1164,203,14280,2014-11-04
1164,207,14285,2014-11-05
1164,203,14295,2014-11-06
1164,207,14297,2014-11-07
1164,203,14300,2014-11-07
1164,203,14312,2014-11-11
1164,207,14307,2014-11-12
1164,203,14329,2014-11-13
1164,207,14314,2014-11-14
1164,203,14337,2014-11-14
1164,207,14346,2014-11-17
1164,207,14350,2014-11-17
1164,203,14354,2014-11-18
1164,207,14347,2014-11-19
1164,203,14364,2014-11-20
1164,207,14367,2014-11-24
1164,203,14386,2014-11-25
1164,203,14395,2014-11-26
1164,207,14397,2014-11-26
1164,203,14488,2014-11-27
1164,207,14430,2014-11-27
1164,207,14467,2014-11-29
1164,203,14415,2014-12-02
1164,203,14437,2014-12-04
1164,207,14445,2014-12-05
1164,207,14442,2014-12-08
1164,203,14457,2014-12-09
1164,203,14474,2014-12-11
1164,203,14481,2014-12-11
1164,207,14469,2014-12-12
1164,207,14484,2014-12-12
1164,207,14483,2014-12-12
1164,207,14493,2014-12-13
1164,203,14492,2014-12-15
1164,207,14496,2014-12-15
1164,203,14508,2015-01-07
1164,207,14644,2015-01-21
1164,207,14519,2015-01-26
1164,203,14571,2015-01-27
1164,207,14520,2015-01-28
1164,203,14681,2015-02-18
1164,207,14684,2015-02-25
1164,203,14712,2015-02-26
1164,203,14726,2015-02-27
1164,203,14746,2015-03-03
1164,203,14763,2015-03-06
1164,203,14767,2015-03-09
1164,203,14768,2015-03-10
1164,207,14751,2015-03-11
1164,207,14801,2015-03-16
1164,203,14810,2015-03-17
1164,203,14820,2015-03-19
1164,203,14852,2015-03-26
1164,207,14867,2015-04-13
1164,207,14870,2015-04-15
1164,203,14892,2015-04-16
1164,203,14897,2015-04-17
1164,203,14909,2015-04-21
1164,203,14922,2015-04-24
1164,207,14906,2015-04-27
1164,203,14932,2015-04-28
1164,203,14952,2015-04-30
1164,203,14967,2015-05-05
1164,207,14960,2015-05-06
1164,203,14978,2015-05-06
1164,203,14983,2015-05-07
1164,207,14982,2015-05-07
1164,207,14999,2015-05-11
1164,203,15013,2015-05-12
1164,207,15009,2015-05-13
1164,203,15022,2015-05-15
1164,207,15027,2015-05-18
1164,203,15038,2015-05-18
1164,203,15050,2015-05-19
1164,207,15045,2015-05-20
1164,207,15065,2015-05-20
1164,203,15075,2015-05-21
1164,203,15094,2015-05-26
1164,207,15093,2015-05-26
1164,207,15078,2015-05-27
1164,203,15107,2015-05-28
1164,207,15106,2015-05-29
1164,203,15112,2015-05-29
1164,207,15115,2015-06-01
1164,204,15123,2015-06-01
1164,207,15116,2015-06-02
1164,203,15136,2015-06-02
1164,207,15135,2015-06-03
1164,203,15158,2015-06-03
1164,203,15162,2015-06-04
1164,207,15166,2015-06-05
1164,203,15170,2015-06-05
1164,203,15188,2015-06-09
1164,207,15195,2015-06-10
1164,203,15203,2015-06-11
1164,207,15206,2015-06-11
1164,203,15212,2015-06-12
1164,207,15208,2015-06-15
1164,203,15235,2015-06-16
1164,207,15231,2015-06-16
1164,203,15243,2015-06-16
1164,203,15255,2015-06-23
1164,203,15263,2015-06-24
1164,203,15271,2015-06-26
1164,203,15295,2015-07-01
1165,204,14045,2014-09-15
1165,204,14046,2014-09-17
1165,204,14099,2014-09-24
1165,204,14136,2014-10-06
1165,204,14151,2014-10-08
1165,204,14161,2014-10-09
1165,204,14190,2014-10-15
1165,204,14205,2014-10-20
1165,148,14210,2014-10-21
1165,204,14219,2014-10-22
1165,204,14247,2014-10-29
1165,204,14272,2014-11-03
1165,201,14277,2014-11-04
1165,204,14287,2014-11-05
1165,204,14414,2014-11-06
1165,204,14317,2014-11-12
1165,203,14337,2014-11-14
1165,204,14345,2014-11-17
1165,207,14347,2014-11-19
1165,204,14357,2014-11-19
1165,204,14388,2014-11-26
1165,204,14408,2014-11-28
1165,204,14422,2014-12-03
1165,206,14428,2014-12-03
1165,204,14434,2014-12-04
1165,204,14459,2014-12-10
1165,204,14476,2014-12-11
1165,204,14479,2014-12-12
1165,204,14486,2014-12-12
1165,204,14497,2014-12-15
1165,204,14548,2015-01-21
1165,205,14569,2015-01-28
1165,204,14582,2015-01-30
1165,204,14606,2015-02-02
1165,204,14631,2015-02-06
1165,204,14662,2015-02-16
1165,206,14670,2015-02-17
1165,204,14675,2015-02-18
1165,206,14696,2015-02-24
1165,206,14689,2015-02-24
1165,204,14700,2015-02-25
1165,206,14719,2015-02-26
1165,204,14734,2015-03-02
1165,206,14745,2015-03-03
1165,204,14750,2015-03-04
1165,204,14764,2015-03-09
1165,206,14762,2015-03-09
1165,206,14770,2015-03-10
1165,204,14775,2015-03-10
1165,204,14782,2015-03-11
1165,204,14790,2015-03-12
1165,204,14794,2015-03-16
1165,204,14813,2015-03-18
1165,204,14831,2015-03-23
1165,204,14841,2015-03-23
1165,204,14872,2015-04-13
1165,204,14882,2015-04-15
1165,204,14903,2015-04-20
1165,204,14913,2015-04-22
1165,204,14944,2015-04-29
1165,206,14951,2015-04-30
1165,204,14957,2015-05-04
1165,204,14968,2015-05-06
1165,204,14988,2015-05-07
1165,204,15002,2015-05-11
1165,204,15017,2015-05-13
1165,203,15022,2015-05-15
1165,204,15037,2015-05-18
1165,203,15050,2015-05-19
1165,204,15063,2015-05-20
1165,204,15074,2015-05-20
1165,204,15098,2015-05-27
1165,204,15123,2015-06-01
1165,204,15134,2015-06-02
1165,204,15154,2015-06-03
1165,204,15165,2015-06-05
1165,204,15194,2015-06-10
1165,204,15224,2015-06-15
1165,204,15246,2015-06-18
1165,204,15293,2015-06-30
1165,204,15297,2015-06-30
1165,203,15295,2015-07-01
1166,205,14029,2014-09-10
1166,204,14045,2014-09-15
1166,201,14051,2014-09-16
1166,201,14059,2014-09-17
1166,201,14062,2014-09-18
1166,205,14081,2014-09-22
1166,201,14098,2014-09-25
1166,205,14135,2014-10-06
1166,148,14138,2014-10-06
1166,201,14154,2014-10-09
1166,206,14186,2014-10-14
1166,206,14196,2014-10-16
1166,201,14192,2014-10-16
1166,204,14205,2014-10-20
1166,201,14220,2014-10-22
1166,201,14221,2014-10-23
1166,201,14250,2014-10-29
1166,205,14262,2014-10-30
1166,201,14277,2014-11-04
1166,204,14287,2014-11-05
1166,201,14291,2014-11-06
1166,206,14293,2014-11-06
1166,201,14311,2014-11-11
1166,201,14326,2014-11-13
1166,204,14345,2014-11-17
1166,201,14355,2014-11-18
1166,204,14357,2014-11-19
1166,201,14356,2014-11-20
1166,201,14372,2014-11-24
1166,201,14379,2014-11-25
1166,204,14388,2014-11-26
1166,201,14398,2014-11-27
1166,204,14408,2014-11-28
1166,201,14416,2014-12-02
1166,201,14431,2014-12-04
1166,205,14448,2014-12-08
1166,201,14468,2014-12-10
1166,201,14472,2014-12-10
1166,201,14471,2014-12-11
1166,201,14490,2014-12-12
1166,201,14491,2014-12-15
1166,205,14545,2015-01-21
1166,201,14539,2015-01-22
1166,205,14551,2015-01-26
1166,201,14568,2015-01-27
1166,204,14582,2015-01-30
1166,201,14609,2015-02-03
1166,204,14618,2015-02-04
1166,201,14627,2015-02-05
1166,205,14630,2015-02-06
1166,201,14669,2015-02-17
1166,205,14674,2015-02-18
1166,201,14682,2015-02-18
1166,201,14702,2015-02-24
1166,205,14701,2015-02-25
1166,201,14711,2015-02-26
1166,201,14717,2015-02-27
1166,205,14733,2015-03-02
1166,201,14744,2015-03-03
1166,205,14761,2015-03-09
1166,201,14766,2015-03-09
1166,201,14771,2015-03-10
1166,201,14789,2015-03-12
1166,201,14816,2015-03-19
1166,201,14840,2015-03-24
1166,205,14844,2015-03-25
1166,201,14851,2015-03-26
1166,205,14873,2015-04-13
1166,148,14877,2015-04-14
1166,205,14885,2015-04-15
1166,204,14903,2015-04-20
1166,201,14904,2015-04-21
1166,201,14923,2015-04-22
1166,201,14930,2015-04-28
1166,201,14947,2015-04-29
1166,201,14949,2015-04-30
1166,205,14956,2015-05-04
1166,201,14958,2015-05-04
1166,201,14963,2015-05-05
1166,201,14974,2015-05-06
1166,206,14975,2015-05-06
1166,201,14979,2015-05-07
1166,201,15012,2015-05-12
1166,201,15024,2015-05-15
1166,201,15035,2015-05-18
1166,201,15049,2015-05-19
1166,201,15058,2015-05-19
1166,201,15069,2015-05-21
1166,201,15087,2015-05-26
1166,201,15105,2015-05-28
1166,201,15129,2015-06-02
1166,201,15163,2015-06-04
1166,201,15168,2015-06-05
1166,201,15186,2015-06-09
1166,201,15200,2015-06-11
1166,201,15328,2015-06-12
1166,201,15219,2015-06-13
1166,201,15272,2015-06-25
1166,203,15271,2015-06-26
1166,201,15286,2015-06-29
1167,201,14051,2014-09-16
1167,201,14059,2014-09-17
1167,201,14062,2014-09-18
1167,201,14090,2014-09-23
1167,201,14098,2014-09-25
1167,201,14154,2014-10-09
1167,201,14192,2014-10-16
1167,201,14211,2014-10-21
