commitee_id,mp_id
216,650
216,1159
216,124
216,1181
216,686
216,1168
216,396
216,1174
216,730
150,1012
150,1159
150,656
150,1164
150,1169
150,719
150,1175
150,706
150,707
153,1162
153,704
153,1170
153,477
153,694
153,1018
153,557
153,721
153,1177
153,1178
153,678
199,650
199,1159
199,124
199,1181
199,686
199,1168
199,396
199,1174
199,730
200,656
200,690
200,690
200,1177
200,1178
200,678
195,650
195,728
195,656
195,690
195,1174
195,1177
195,1178
195,678
195,1171
191,1012
191,1159
191,656
191,1164
191,1169
191,719
191,1175
191,706
191,707
190,1162
190,704
190,1170
190,477
190,694
190,1018
190,557
190,721
190,1177
190,1178
190,678
133,656
133,690
133,690
133,1177
133,1178
133,678
132,728
132,694
132,707
131,124
131,396
131,1174
131,557
131,1175
131,1171
131,1179
137,1181
137,683
137,658
137,686
137,1167
137,708
137,557
137,1175
134,1169
134,721
134,630
205,1158
205,1160
205,1161
205,1161
205,1181
205,683
205,1173
205,694
205,712
205,1031
205,721
205,1157
205,1180
139,1161
139,704
139,477
139,1018
207,1012
207,1159
207,656
207,1164
207,1169
207,719
207,1175
207,706
207,707
201,1012
201,1161
201,683
201,1166
201,1167
201,1170
201,1172
201,721
201,1176
147,650
147,631
147,1180
203,1158
203,1164
203,688
203,396
203,714
203,1173
203,1157
203,1179
203,1180
202,1162
202,704
202,1170
202,477
202,694
202,1018
202,557
202,721
202,1177
202,1178
202,678
142,688
142,1170
142,705
204,650
204,1160
204,1181
204,1165
204,1166
204,686
204,1168
204,660
204,708
204,730
204,1176
140,714
140,719
140,1173
140,1172
140,721
140,706
206,728
206,1160
206,658
206,1169
206,477
206,1018
206,934
206,705
206,706
206,1178
206,630
148,650
148,1181
148,1162
148,656
148,690
148,1174
148,1177
148,707
148,1171
148,631
128,650
128,1159
128,124
128,1181
128,686
128,1168
128,396
128,1174
128,730
