mp_id,total_meetings,attended_meetings
HarB,172,132
ÖJ,64,49
HHG,94,100
JMS,87,69
RM,76,62
ELA,129,103
FSigurj,141,79
ÖS,55,32
GStein,89,41
VBj,62,45
VigH,118,90
ÁsmD,136,71
JÞÓ,58,71
KG,143,98
KaJúl,69,60
KLM,95,74
ÁPÁ,90,38
PVB,83,95
HE,69,82
KJak,55,59
HHj,63,48
ÓP,54,51
RR,76,52
GÞÞ,93,76
SSv,71,80
SÁA,14,30
BÁ,126,107
SigrM,27,19
SÞÁ,74,75
SJS,94,52
BjG,159,143
JónG,93,82
VilB,142,90
VilÁ,149,116
ValG,86,58
SilG,56,45
BP,81,117
BjÓ,167,134
OH,82,75
LínS,169,108
ÁsF,167,136
LRM,96,89
SII,74,68
ÞorS,93,82
WÞÞ,152,102
EKG,2,2
GuðbH,160,124
PJP,170,146
ÞórE,119,94
ElH,121,82
PHB,137,76
UBK,177,109
BN,135,114
HöskÞ,78,61
BirgJ,65,62
