HBH,5
HBK,3
BN,91
BP,100
SII,57
EyE,2
símafundur,2
RR,44
SPJ,7
RM,39
2010,1
VilB,74
OPCAT,10
Hvammsvirkjun,1
BÁ,71
KJak,42
Hagavatnsvirkjun,1
IngÓ,2
HöskÞ,38
OH,63
PHB,72
BVG,8
GuðbH,102
OddO,6
SÞÁ,62
VigH,69
UBK,95
BirgJ,47
þriðji orkupakkinn,10
ný heildarlög,1
ÁPÁ,38
fjarfundur,6
GÞÞ,65
HE,56
fyrningarfrestur,2
JMS,53
AME,7
flýtimeðferð,2
"lekamálið",1
SÁA,22
SSv,55
HarB,96
BLG,3
JÞÓ,51
SigrG,1
LRM,65
SigrM,19
FSigurj,68
JÁrn,2
ÓÞ,11
BjÓ,103
ÁsmD,57
EKG,2
ValG,47
LGeir,3
ElH,53
HallM,11
LínS,93
VBj,39
ÞórE,74
ÞorS,62
PVB,68
ÁstaH,4
BSB,2
GJÞ,8
ÁsF,100
JónG,59
SAMÚT,2
SJS,50
ELA,79
landsstyrets,1
ÖS,21
ÁI,3
ÖJ,45
nr. 7851/2014,1
með fyrirvara,9
SBS,5
KG,81
WÞÞ,94
ÁMF,2
EIS,1
KaJúl,36
SilG,32
ÓP,35
GStein,39
BjG,115
SÖÁ,8
VilÁ,87
KLM,53
ESB,30
HHj,41
ÓBK,4
PJP,110
HHG,82
