málsnúmer;málsheiti;staða máls;heildartími;nefndir
1;fjárlög 2013;Samþykkt sem lög frá Alþingi.;;
2;þjóðhagsáætlun 2013 (skýrsla um efnahagsstefnu);;;
3;verndar- og orkunýtingaráætlun;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
4;frádráttur á tekjuskatti vegna afborgana af fasteignalánum einstaklinga;Ekki útrætt á 141. þingi. (Var í nefnd eftir fyrri umræðu.);;
5;almenn niðurfærsla á verðtryggðum fasteignaveðlánum heimila og afnám verðtryggingar;Ekki útrætt á 141. þingi. (Var í nefnd eftir fyrri umræðu.);;
6;gerð hættumats og viðbragðsáætlana á höfuðborgarsvæðinu;Fyrirspurninni var svarað skriflega.;;
7;kosningar til Alþingis og kosningar til sveitarstjórna;Samþykkt sem lög frá Alþingi.;;
8;framkvæmd þingsályktunar um olíu- og gasrannsóknir;Fyrirspurninni var svarað skriflega.;;
9;þak á hækkun verðtryggingar og lækkun vaxta;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
10;fjármál stjórnmálasamtaka og frambjóðenda og upplýsingaskylda þeirra;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
11;sjóferðabækur;Fyrirspurninni var svarað skriflega.;;
12;dómstólar o.fl;Samþykkt sem lög frá Alþingi.;;
13;malbikun bílastæða við Reykjavíkurflugvöll;Fyrirspurninni var svarað munnlega.;;
14;sókn í atvinnumálum;Ekki útrætt á 141. þingi. (Var í nefnd eftir fyrri umræðu.);;
15;eldgos ofan Hafnarfjarðar;Fyrirspurninni var svarað skriflega.;;
16;óundirbúinn fyrirspurnatími;;;
17;raforkumál á Norðurlandi;;;
18;þingfararkaup alþingismanna og þingfararkostnaður;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
19;stjórnarskipunarlög;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
20;virðisaukaskattur;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
21;Lánasjóður íslenskra námsmanna;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
22;legslímuflakk;Ekki útrætt á 141. þingi. (Var í nefnd eftir fyrri umræðu.);;
23;kjarasamningar hjúkrunarfræðinga;;;
24;skýrsla Seðlabankans um gjaldmiðilsmál;;;
25;launamál heilbrigðisstarfsmanna;;;
26;fjárhagur Ríkisútvarpsins;;;
27;breyting á lögum um stjórn fiskveiða;;;
28;ætlað samþykki við líffæragjafir;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
29;staða atvinnumála;;;
30;óundirbúinn fyrirspurnatími;;;
31;valkostir Íslands í gjaldmiðils- og gengismálum;;;
32;upptaka gæðamerkisins ,,broskarlinn";Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
33;þingsköp Alþingis;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
34;stjórnarskipunarlög;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
35;skilgreining auðlinda;Ekki útrætt á 141. þingi. (Var í nefnd eftir fyrri umræðu.);;
36;félagsleg aðstoð;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
37;rannsókn á athöfnum þingmanna í tengslum við búsáhaldabyltinguna í janúar 2009;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
38;orkuöflun og orkunýting í Þingeyjarsýslum;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
