Ráðherra, #fyrirspurna, #svarað, svartími, #ósvarað, ósvartími
fjármála- og efnahagsráðherra, 54, 49, 46, 5, 1226
forsætisráðherra, 19, 19, 25, 0, 0
félags- og húsnæðismálaráðherra, 35, 35, 32, 0, 0
innanríkisráðherra, 72, 69, 37, 3, 1146
heilbrigðisráðherra, 47, 47, 34, 0, 0
umhverfis- og auðlindaráðherra, 20, 20, 36, 0, 0
mennta- og menningarmálaráðherra, 37, 37, 43, 0, 0
iðnaðar- og viðskiptaráðherra, 18, 15, 49, 3, 1131
sjávarútvegs- og landbúnaðarráðherra, 21, 21, 35, 0, 0
utanríkisráðherra, 14, 12, 35, 2, 1141
forseti, 3, 3, 36, 0, 0
