Óli Björn Kárason;78;74;4
Pawel Bartoszek;90;95;10
Eva Pandora Baldursdóttir;6;43;37
Ari Trausti Guðmundsson;37;42;5
Jón Þór Ólafsson;39;44;7
Steinunn Þóra Árnadóttir;31;29;6
Rósa Björk Brynjólfsdóttir;68;72;5
Kolbeinn Óttarsson Proppé;43;42;4
Oddný G. Harðardóttir;70;61;11
Elsa Lára Arnardóttir;63;61;2
Birgir Ármannsson;77;74;10
Þórhildur Sunna Ævarsdóttir;44;46;9
Áslaug Arna Sigurbjörnsdóttir;72;89;18
Benedikt Jóhannesson;15;16;1
Valgerður Gunnarsdóttir;69;88;19
Eygló Harðardóttir;42;47;12
Gunnar Hrafn Jónsson;7;35;28
Jón Gunnarsson;7;6;0
Silja Dögg Gunnarsdóttir;45;61;17
Steingrímur J. Sigfússon;33;45;15
Ásta Guðrún Helgadóttir;28;29;5
Guðjón S. Brjánsson;84;51;0
Jón Steindór Valdimarsson;70;87;20
Páll Magnússon;57;71;15
Halldóra Mogensen;40;45;5
Lilja Alfreðsdóttir;67;87;23
Sigurður Ingi Jóhannsson;26;31;13
Katrín Jakobsdóttir;58;59;6
Björt Ólafsdóttir;15;16;1
Jóna Sólveig Elínardóttir;66;74;10
Brynjar Níelsson;88;103;19
Vilhjálmur Bjarnason;79;88;13
Vilhjálmur Árnason;71;97;29
Ásmundur Friðriksson;66;73;7
Bryndís Haraldsdóttir;66;78;18
Smári McCarthy;45;48;15
Þórunn Egilsdóttir;11;6;0
Haraldur Benediktsson;95;105;11
Hanna Katrín Friðriksson;60;71;15
Einar Brynjólfsson;53;60;7
Theodóra S. Þorsteinsdóttir;73;92;19
Nichole Leigh Mosty;96;97;6
Andrés Ingi Jónsson;44;46;8
Logi Einarsson;60;47;11
Gunnar Bragi Sveinsson;34;42;10
Björn Leví Gunnarsson;75;61;5
Sigmundur Davíð Gunnlaugsson;10;29;19
Guðlaugur Þór Þórðarson;19;21;2
Sigríður Á. Andersen;15;16;1
Lilja Rafney Magnúsdóttir;25;31;6
Bjarkey Olsen Gunnarsdóttir;56;61;8
Unnur Brá Konráðsdóttir;20;21;1
Svandís Svavarsdóttir;41;50;11
Birgitta Jónsdóttir;31;44;15
Ólöf Nordal;0;9;9
Þorsteinn Víglundsson;21;21;0
Teitur Björn Einarsson;59;71;14
Hildur Sverrisdóttir;75;81;17
Njáll Trausti Friðbertsson;81;85;9
