þingmaður, orð á mín, hraðasta ræða, url, hægasta ræða, url
Bjarni Benediktsson,125,158,http://www.althingi.is/altext/raeda/147/rad20170926T183645.html,95,http://www.althingi.is/altext/raeda/147/rad20170927T005542.html
Katrín Jakobsdóttir,164,190,http://www.althingi.is/altext/raeda/147/rad20170914T134224.html,132,http://www.althingi.is/altext/raeda/147/rad20170926T164538.html
Birgitta Jónsdóttir,129,149,http://www.althingi.is/altext/raeda/147/rad20170913T200104.html,104,http://www.althingi.is/altext/raeda/147/rad20170926T170320.html
Sigurður Ingi Jóhannsson,133,142,http://www.althingi.is/altext/raeda/147/rad20170914T115752.html,124,http://www.althingi.is/altext/raeda/147/rad20170913T200929.html
Benedikt Jóhannesson,124,134,http://www.althingi.is/altext/raeda/147/rad20170914T173526.html,112,http://www.althingi.is/altext/raeda/147/rad20170914T163332.html
Óttarr Proppé,123,153,http://www.althingi.is/altext/raeda/147/rad20170913T202925.html,107,http://www.althingi.is/altext/raeda/147/rad20170926T154739.html
Logi Einarsson,131,171,http://www.althingi.is/altext/raeda/147/rad20170914T124554.html,105,http://www.althingi.is/altext/raeda/147/rad20170926T173419.html
Sigríður Á. Andersen,125,148,http://www.althingi.is/altext/raeda/147/rad20170926T233619.html,99,http://www.althingi.is/altext/raeda/147/rad20170926T164745.html
Steingrímur J. Sigfússon,154,179,http://www.althingi.is/altext/raeda/147/rad20170914T172838.html,122,http://www.althingi.is/altext/raeda/147/rad20170913T205544.html
Þórhildur Sunna Ævarsdóttir,148,176,http://www.althingi.is/altext/raeda/147/rad20170926T153757.html,129,http://www.althingi.is/altext/raeda/147/rad20170926T152102.html
Lilja Alfreðsdóttir,115,115,http://www.althingi.is/altext/raeda/147/rad20170913T210945.html,115,http://www.althingi.is/altext/raeda/147/rad20170913T210945.html
Þorgerður K. Gunnarsdóttir,138,138,http://www.althingi.is/altext/raeda/147/rad20170913T211521.html,138,http://www.althingi.is/altext/raeda/147/rad20170913T211521.html
Björt Ólafsdóttir,126,126,http://www.althingi.is/altext/raeda/147/rad20170913T212112.html,126,http://www.althingi.is/altext/raeda/147/rad20170913T212112.html
Oddný G. Harðardóttir,123,123,http://www.althingi.is/altext/raeda/147/rad20170913T212749.html,122,http://www.althingi.is/altext/raeda/147/rad20170926T154003.html
Páll Magnússon,140,140,http://www.althingi.is/altext/raeda/147/rad20170913T213326.html,140,http://www.althingi.is/altext/raeda/147/rad20170913T213326.html
Kolbeinn Óttarsson Proppé,148,165,http://www.althingi.is/altext/raeda/147/rad20170926T184421.html,135,http://www.althingi.is/altext/raeda/147/rad20170914T144928.html
Eva Pandora Baldursdóttir,129,131,http://www.althingi.is/altext/raeda/147/rad20170913T214147.html,128,http://www.althingi.is/altext/raeda/147/rad20170926T174653.html
Silja Dögg Gunnarsdóttir,131,144,http://www.althingi.is/altext/raeda/147/rad20170914T142235.html,115,http://www.althingi.is/altext/raeda/147/rad20170914T143842.html
Þorsteinn Víglundsson,145,178,http://www.althingi.is/altext/raeda/147/rad20170914T134503.html,131,http://www.althingi.is/altext/raeda/147/rad20170914T133200.html
Theodóra S. Þorsteinsdóttir,124,134,http://www.althingi.is/altext/raeda/147/rad20170913T215802.html,114,http://www.althingi.is/altext/raeda/147/rad20170914T125122.html
Guðjón S. Brjánsson,120,120,http://www.althingi.is/altext/raeda/147/rad20170913T220150.html,120,http://www.althingi.is/altext/raeda/147/rad20170913T220150.html
Bjarkey Olsen Gunnarsdóttir,146,165,http://www.althingi.is/altext/raeda/147/rad20170914T112222.html,130,http://www.althingi.is/altext/raeda/147/rad20170914T111641.html
Björn Leví Gunnarsson,132,175,http://www.althingi.is/altext/raeda/147/rad20170914T113317.html,111,http://www.althingi.is/altext/raeda/147/rad20170914T172642.html
